Sentence,Tagged_Sentence
"Katanya, pengurus berusia 44 tahun itu direman lima hari bermula hari ini manakala wanita itu akan diambil kenyataan dan dibebaskan dengan jaminan SPRM",_
This is my 2nd purchase of the air fresheners from this seller,_
Barang dah terima dlm keadaan yg baik,_
Very affordable with good quality,_
Where is online banking payment method?,_
baik beli kat china je kalau mcm tu,_
Product already received in good condition,_
senang bawak g mana2 hihi thank you seller!,_
Kk k k k k k k k k k k k k k k k k k k k k k k ok,_
kain elok padan dgn harga,_
Tapi warranty dh start dr bln 11,_
"Baju da sampai untuk pakai raya haji nanti, da try muat dgn size ni, material ok tak pnas, Thank you",_
"Barang diterima, penghantaram laju mengikut ditetapkan Shoppe, barang dah test ok, tq seller, akan repeat nanti",_
"Penghantaran cepat, seller responsive dan baik",_
will repeat again with bigger size!,_
Received mine! First time beli from this seller,_
Barang okay cantek tapi dia punya tali tu mcm senang terkoyak lepastu shipping amik masa 2 minggu bukan salah seller salah shoppe lmbt sngat papepon overall okay cantek semua thank you seller,_
suction pun cun,_
Taste:pds,_
Love this white color,_
Boleh bawa bekal hari Hri,_
"Maximum fraud,",_
sampai dah dia,_
"memang puas hati , barang sampai seperti dalam gambar",_
Affordable i can eat it everydayyyyyyyyyyy so yummyyyyyyy,_
Baju best kain pun best,_
Size/Perfect Fit:perfect for my 11month daughter,_
Regret is an appalling waste of energy,_
"OVERALL MEMANG BEST,",_
Fully sponsered,_
Apk tolol ajg babi,_
First time beli kat shopee sebab bila nak beli kat kat supermarket asyik oos,_
"Talents in the field of designing, building, commissioning, and maintenance are crucial in robotics",_
com/channel/UCcHZNCJNrp7_vCjPJNt1YCg,_
coin coin coin !,_
Saya udah downlod kok jadi balik lagi ke play store harusnya kan udah ada di aplikasi dan download ya lama lagi sangat mengecewakan,_
"Very good quality and values to buy, fast delivery",_
Delivery stuck with courier for days,_
"berbaloi beli,penghantaran cepat",_
Also seller ship very fast and same goes to delivery,_
tester perfume n bekas,_
A very good combination,_
Sama2 kongsi rezeki,_
s sucking all my luck out of me,_
Item received successfully and comfortable to wear,_
Powerbank berat sikit,_
"KUALA LUMPUR: Kementerian Pendidikan (KPM) menafikan dakwaan mengatakan murid sekolah di bawah Program Rancangan Makanan Tambahan (RMT) hanya diberi makan nasi dan kuah, seperti yang tular di media sosial",_
"Good value for money, quality is good, worth buying",_
tapi ok lh x ketat & x,_
Momo Tan,_
